shipment_id,origin_country,destination_country,transport_mode,rfq_sent_at,quote_received_at,customs_status,supplier_id,supplier_compliance_flag,fulfilment_status,quote_response_hours
SHP-000001,Southport,Eastoria,air,2026-03-22 16:27:24,2026-03-22 23:47:12,cleared,SUP-0280,True,on_time,7.33
SHP-000002,Northland,Highmere,air,2025-12-10 03:21:08,2025-12-10 09:42:08,cleared,SUP-0333,True,on_time,6.35
SHP-000003,Rivermark,Northland,road,2025-11-23 09:04:13,2025-11-24 04:41:25,cleared,SUP-0217,True,on_time,19.62
SHP-000004,Highmere,Eastoria,road,2026-04-11 12:23:15,2026-04-11 22:07:39,cleared,SUP-0023,True,on_time,9.74
SHP-000005,Lowvale,Highmere,road,2026-01-10 22:14:29,2026-01-11 05:58:53,pending,SUP-0296,True,on_time,7.74
SHP-000006,Westhaven,Rivermark,sea,2026-01-05 01:47:26,2026-01-06 01:27:02,cleared,SUP-0143,True,late,23.66
SHP-000007,Eastoria,Westhaven,road,2025-12-31 20:44:57,2026-01-01 02:34:09,cleared,SUP-0037,True,on_time,5.82
SHP-000008,Westhaven,Lowvale,road,2025-12-15 14:48:20,2025-12-16 00:32:08,cleared,SUP-0167,True,on_time,9.73
SHP-000009,Westhaven,Centralia,sea,2026-04-10 12:42:59,2026-04-12 08:03:23,cleared,SUP-0291,True,on_time,43.34
SHP-000010,Rivermark,Westhaven,air,2025-12-08 10:10:26,2025-12-09 08:12:14,cleared,SUP-0288,True,on_time,22.03
SHP-000011,Lowvale,Southport,rail,2026-03-29 22:09:36,2026-03-31 07:48:36,cleared,SUP-0253,True,on_time,33.65
SHP-000012,Southport,Lowvale,sea,2026-04-11 08:16:25,2026-04-11 12:57:13,cleared,SUP-0196,True,on_time,4.68
SHP-000013,Centralia,Northland,road,2026-05-10 18:22:12,2026-05-14 11:42:00,cleared,SUP-0275,True,on_time,89.33
SHP-000014,Highmere,Westhaven,air,2026-03-04 10:06:15,2026-03-04 21:06:15,cleared,SUP-0135,False,on_time,11.0
SHP-000015,Southport,Lowvale,road,2025-12-05 09:40:34,2025-12-06 16:54:22,cleared,SUP-0192,True,on_time,31.23
SHP-000016,Northland,Southport,rail,2026-03-13 04:24:23,2026-03-13 16:38:47,pending,SUP-0158,True,on_time,12.24
SHP-000017,Southport,Northland,rail,2026-02-08 10:48:36,2026-02-08 22:59:24,cleared,SUP-0065,True,on_time,12.18
SHP-000018,Eastoria,Centralia,rail,2025-11-24 16:37:47,2025-11-25 13:41:59,delayed,SUP-0103,True,on_time,21.07
SHP-000019,Highmere,Northland,sea,2025-11-24 07:22:37,2025-11-24 20:16:37,cleared,SUP-0011,True,on_time,12.9
SHP-000020,Westhaven,Northland,sea,2025-12-06 17:09:48,2025-12-07 10:26:36,delayed,SUP-0170,True,on_time,17.28
SHP-000021,Rivermark,Centralia,road,2025-12-30 23:26:19,2025-12-31 03:28:43,cleared,SUP-0243,True,on_time,4.04
SHP-000022,Southport,Centralia,sea,2026-01-02 16:47:25,2026-01-03 01:56:25,cleared,SUP-0345,True,on_time,9.15
SHP-000023,Northland,Rivermark,air,2026-02-24 15:38:17,2026-02-25 00:26:17,cleared,SUP-0275,True,on_time,8.8
SHP-000024,Centralia,Northland,sea,2026-03-15 10:07:21,2026-03-16 07:13:57,pending,SUP-0282,True,on_time,21.11
SHP-000025,Northland,Rivermark,sea,2025-11-23 16:10:42,2025-11-27 12:38:54,cleared,SUP-0247,True,on_time,92.47
SHP-000026,Northland,Centralia,sea,2026-03-07 12:06:12,2026-03-07 13:09:12,pending,SUP-0233,True,on_time,1.05
SHP-000027,Rivermark,Northland,road,2025-12-27 03:09:45,2025-12-27 10:58:57,cleared,SUP-0161,True,on_time,7.82
SHP-000028,Eastoria,Rivermark,sea,2026-04-06 13:24:18,2026-04-07 02:05:06,cleared,SUP-0346,True,on_time,12.68
SHP-000029,Westhaven,Northland,sea,2026-03-24 17:11:34,2026-03-24 19:06:10,cleared,SUP-0268,True,on_time,1.91
SHP-000030,Highmere,Lowvale,road,2026-04-03 16:55:23,2026-04-04 03:01:23,cleared,SUP-0038,True,on_time,10.1
SHP-000031,Southport,Westhaven,air,2026-03-04 08:07:23,2026-03-04 14:01:23,cleared,SUP-0036,True,on_time,5.9
SHP-000032,Eastoria,Westhaven,road,2026-02-07 23:36:57,2026-02-08 13:06:21,rejected,SUP-0335,True,on_time,13.49
SHP-000033,Centralia,Southport,sea,2025-12-31 07:50:22,2026-01-01 10:25:10,pending,SUP-0284,True,on_time,26.58
SHP-000034,Westhaven,Lowvale,road,2026-02-13 17:58:40,2026-02-13 23:39:28,cleared,SUP-0129,False,late,5.68
SHP-000035,Southport,Northland,air,2026-03-12 22:41:20,2026-03-13 18:46:08,pending,SUP-0327,False,on_time,20.08
SHP-000036,Rivermark,Northland,air,2026-01-11 12:58:28,2026-01-11 23:48:52,delayed,SUP-0077,True,late,10.84
SHP-000037,Eastoria,Westhaven,rail,2026-04-24 16:43:52,2026-04-24 18:41:28,pending,SUP-0021,True,on_time,1.96
